episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-43.67877394363205,67,0,1,-0.6519219991586873,0.99525,crush
2,-34.13730354751988,4,0,1,-8.53432588687997,0.9905,crush
3,-66.70224201095927,107,0,1,-0.6233854393547595,0.98575,crush
4,-33.79625577479212,4,0,1,-8.44906394369803,0.981,crush
5,-40.771476782318494,63,0,0,-0.6471662981320396,0.97625,stuck
6,-33.95918859693829,4,0,1,-8.489797149234573,0.9715,crush
7,-59.46847261376586,63,0,1,-0.9439440097423153,0.96675,crush
8,-34.87018321525327,4,0,1,-8.717545803813318,0.962,crush
9,-67.42672061423443,139,0,1,-0.4850843209657153,0.95725,crush
10,-35.86367250115126,4,0,1,-8.965918125287814,0.9525,crush
11,-33.317946219493486,4,0,1,-8.329486554873371,0.94775,crush
12,-32.900951356728775,4,0,1,-8.225237839182194,0.9430000000000001,crush
13,-33.49911361808256,65,0,1,-0.5153709787397317,0.93825,crush
14,-32.786486772186514,4,0,1,-8.196621693046628,0.9335,crush
15,-34.51523267983107,46,0,1,-0.750331145213719,0.92875,crush
16,-33.81712820354401,4,0,1,-8.454282050886002,0.924,crush
17,-26.0326654858277,42,0,1,-0.6198253687101833,0.91925,crush
18,-33.614522927947256,4,0,1,-8.403630731986814,0.9145,crush
19,-26.695031363999007,34,0,1,-0.7851479812940885,0.9097500000000001,crush
20,-34.74504088971395,4,0,1,-8.686260222428487,0.905,crush
21,-34.028393703103845,124,0,1,-0.27442252986374066,0.90025,crush
22,-36.56601808779002,4,0,1,-9.141504521947505,0.8955,crush
23,-33.89811507543825,4,0,1,-8.474528768859562,0.89075,crush
24,-25.2039451174119,42,0,1,-0.60009393136695,0.886,crush
25,-34.25076432600376,4,0,1,-8.56269108150094,0.88125,crush
