episode,total_reward,steps,success,crashes,avg_reward_per_step,epsilon_end,reason
1,-33.88731861046555,75,0,1,-0.4518309148062073,0.9981,crush
2,-98.28334015823327,44,0,1,-2.2337122763234833,0.9962,crush
3,-67.62640629782781,94,0,1,-0.7194298542322107,0.9943,crush
4,-122.15912580517833,7,0,1,-17.451303686454047,0.9924,crush
5,-93.32982482579712,79,0,1,-1.181390187668318,0.9905,crush
6,-92.41352639919863,4,0,1,-23.103381599799658,0.9886,crush
7,-84.3642615688625,135,0,1,-0.6249204560656482,0.9867,crush
8,-92.93215789241523,4,0,1,-23.23303947310381,0.9848,crush
9,-102.33185290862605,103,0,1,-0.9935131350352043,0.9829,crush
10,-134.82789904219123,33,0,1,-4.085693910369431,0.981,crush
11,-45.50933804370102,105,0,1,-0.43342226708286685,0.9791,crush
12,-146.0271950142445,36,0,1,-4.056310972617903,0.9772,crush
13,-98.94520796694873,62,0,1,-1.5958904510798182,0.9753000000000001,crush
14,-94.35401740190964,4,0,1,-23.58850435047741,0.9734,crush
15,-107.54996692709882,70,0,1,-1.5364280989585546,0.9715,crush
16,-103.15470820241552,4,0,1,-25.78867705060388,0.9696,crush
17,-34.93666720555768,64,0,1,-0.5458854250868388,0.9677,crush
18,-104.38116727762997,22,0,1,-4.744598512619544,0.9658,crush
19,-124.31518818435757,80,0,1,-1.5539398523044696,0.9639,crush
20,-145.06381189332663,104,0,1,-1.3948443451281407,0.962,crush
21,-46.02033202604683,40,0,1,-1.1505083006511707,0.9601,crush
22,-39.26560850967972,42,0,1,-0.9348954407066601,0.9582,crush
23,-115.34133568153365,36,0,1,-3.2039259911537123,0.9563,crush
24,-156.6486743043493,114,0,1,-1.3741111781083273,0.9544,crush
25,-133.62474382102943,24,0,1,-5.56769765920956,0.9525,crush
26,-39.26195367191127,91,0,1,-0.4314500403506733,0.9506,crush
27,-75.3025111633604,14,0,1,-5.378750797382886,0.9487,crush
28,-80.8337631673939,60,0,1,-1.3472293861232316,0.9468,crush
29,-101.6106102130366,33,0,1,-3.079109400395048,0.9449,crush
30,-127.51749447568405,73,0,1,-1.7468149928175896,0.9430000000000001,crush
31,-132.52205329982542,33,0,1,-4.015819796964407,0.9411,crush
32,-68.1297590747674,54,0,1,-1.2616622050882853,0.9392,crush
33,-57.82433519434898,31,0,1,-1.86530113530158,0.9373,crush
34,-142.05134574764855,53,0,1,-2.68021407071035,0.9354,crush
35,-100.74249269841413,60,0,1,-1.6790415449735687,0.9335,crush
36,-115.90317103656083,45,0,1,-2.575626023034685,0.9316,crush
37,-25.824850693981073,39,0,1,-0.6621756588200275,0.9297,crush
38,-142.671096719621,67,0,1,-2.129419354024194,0.9278,crush
39,-55.67150631435465,46,0,1,-1.2102501372685794,0.9259,crush
40,-114.0301565054557,49,0,1,-2.327146051131749,0.924,crush
41,-114.28767935250795,52,0,1,-2.19783998754823,0.9221,crush
42,-116.23386601603258,33,0,1,-3.5222383641221993,0.9202,crush
43,-153.81600635513666,111,0,1,-1.3857297869832133,0.9183,crush
44,-93.7613740270925,4,0,1,-23.440343506773125,0.9164,crush
45,-100.46623228965018,118,0,0,-0.8514087482173744,0.9145,stuck
46,-28.799022274889822,10,0,1,-2.8799022274889823,0.9126,crush
47,-126.44591329760763,75,0,1,-1.6859455106347685,0.9107000000000001,crush
